Dates,Pollster,Sample,Influence,Democrats,Republicans,Net
"11/10 - 11/17, 2025@@24062",<a href='https://www.theargumentmag.com/p/2026-is-looking-terrible-for-republicans#footnote-1-179372962'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Argument/Verasight</a>,"1,508 RV@@1508",0.1900181,53,47,6
"10/16 - 10/20, 2025@@24034",<a href='https://echeloninsights.com/in-the-news/october-2025-verified-voter-omnibus-2/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,010 LV@@1010",0.1880017,47,46,1
"10/8 - 10/12, 2025@@24026",<a href='https://fm.cnbc.com/applications/cnbc.com/resources/editorialfiles/2025/10/17/CNBC_All-America_Economic_Survey_Q3_2025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: CNBC^,800 RV@@800,0.1842124,48,47,1
"10/15 - 10/26, 2025@@24040",<a href='https://manhattan.institute/article/the-new-gop-survey-analysis-of-americans-overall-todays-republican-coalition-and-the-minorities-of-maga'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Manhattan Institute</a>,500 RV@@500,0.183478,47,44,3
"12/12 - 12/19, 2025@@24094",<a href='https://mclaughlinonline.com/2025/12/23/national-monthly-december-2025/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0.1813647,46,45,1
"2/9 - 2/12, 2026@@24149",<a href='https://www.yahoo.com/news/politics/article/poll-trumps-approval-rating-hits-new-low-as-immigration-backlash-grows-and-ice-withdraws-from-minnesota-204723473.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Yahoo News^,"1,149 RV@@1149",0.1797317,44,41,3
"1/30 - 2/2, 2026@@24139",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_DDIQ8jz.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,504 RV@@1504",0.1696866,44,40,4
"12/3 - 12/8, 2025@@24083",<a href='https://www.reuters.com/data/trumps-approval-rating-2025-01-21/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"3,521 RV@@3521",0.1691912,40,39,1
"8/15 - 9/8, 2025@@23992","<a href='https://prri.org/research/trumps-unprecedented-actions-deepen-asymmetric-divides/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Public Religion Research Institute</a>^Sponsor: Brookings Institute, Carnegie Corporation of New York, Ford Foundation, Unitarian Universalist Veatch Program at Shelter Rock^","5,543 A@@5543",0.1628148,33,30,3
"9/6 - 9/13, 2025@@23997",<a href='https://www.realclearpolitics.com/articles/2025/09/19/generic_ballot_tracking_poll_republicans_narrow_dems_lead.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>NAIP</a>,"2,071 LV@@2071",0.1616732,45,43,2
"10/27 - 10/30, 2025@@24044",<a href='https://s3.documentcloud.org/documents/26211915/cnn-poll-trump-midterms-east-wing-parties.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>CNN/SSRS</a>,954 RV@@954,0.1603538,47,42,5
"10/16 - 10/23, 2025@@24037",<a href='https://www.claritycampaigns.com/clarity-omnibus-oct-2025'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,047 RV@@1047",0.1576177,47,46,1
"1/23 - 1/26, 2026@@24132",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_8FWGyNz.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,520 RV@@1520",0.1521902,43,38,5
"10/27 - 10/30, 2025@@24044",<a href='https://napolitannews.org/posts/generic-ballot-gop-43-percent-dem-42'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan Institute^,"2,000 RV@@2000",0.1463033,42,43,-1
"9/11 - 9/16, 2025@@24000","<a href='https://www.thirdway.org/memo/americans-caught-between-trumps-cruelty-and-democrats-chaos'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Normington, Petts & Associates</a>^Sponsor: Third Way^",800 LV@@800,0.1407681,40,40,0
"10/10 - 10/16, 2025@@24030",<a href='https://www.theargumentmag.com/p/the-immigration-problem-is-a-crime'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Argument/Verasight</a>,"1,530 RV@@1530",0.1403725,44,43,1
"11/12 - 11/14, 2025@@24059",<a href='https://www.gelliottmorris.com/p/new-poll-democrats-lead-the-2026'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength in Numbers^,860 LV@@860,0.1400909,49,45,4
"2/2 - 2/8, 2026@@24145",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"24,606 RV@@24606",0.1396916,45,42,3
"1/16 - 1/19, 2026@@24125",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_z9wtNZI.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,549 RV@@1549",0.1371482,43,39,4
"9/12 - 9/16, 2025@@24000",<a href='https://atlasintel.org/poll/usa-national-2025-09-19'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>AtlasIntel</a>,"1,066 A@@1066",0.1366841,51.8,43.5,8.299999
"2/9 - 2/15, 2026@@24152",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"12,505 RV@@12505",0.1241653,45,42,3
"1/26 - 2/1, 2026@@24138",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"25,492 RV@@25492",0.1229613,44,42,2
"9/18 - 9/22, 2025@@24006",<a href='https://echeloninsights.com/in-the-news/september-2025-verified-voter-omnibus/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,071 LV@@1071",0.1229401,47,46,1
"9/2 - 9/3, 2025@@23987",<a href='https://www.cygn.al/poll-optimism-drops-while-trump-gop-maintain-issue-trust-with-midterm-voters-including-on-inflation-crime/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0.1189917,47.6,45.2,2.399998
"1/9 - 1/12, 2026@@24118",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_qsNv5iE.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,437 RV@@1437",0.118934,44,40,4
"10/24 - 10/29, 2025@@24043",<a href='https://www.gelliottmorris.com/p/new-poll-voters-want-democrats-to'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength In Numbers^,"1,352 RV@@1352",0.1137978,49,41,8
"12/12 - 12/15, 2025@@24090",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,775 RV@@775,0.1106123,40,36,4
"11/17 - 11/24, 2025@@24069",<a href='https://mclaughlinonline.com/pols/wp-content/uploads/2025/11/National-November-Presentation-RELEASE-11-25-25-1.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0.1095519,45,44,1
"9/10 - 9/12, 2025@@23996",<a href='https://www.politico.com/news/2025/12/03/obamacare-subsidies-expire-this-month-many-republicans-are-shrugging-00672949'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>i360</a>^Sponsor: Americans for Prosperity^,577 RV@@577,0.1076591,35,32,3
"1/8 - 1/12, 2026@@24118",<a href='https://www.yahoo.com/news/world/article/poll-most-americans-dont-want-the-us-to-be-in-charge-of-venezuela-154611401.html?guccounter=1&guce_referrer=aHR0cHM6Ly9maWZ0eXBsdXNvbmUubmV3cy8&guce_referrer_sig=AQAAADuswAe9tXhPxz19FPFnpXDmszH_5A1WoB4vOY-7U0IjGPU3fLrwbmCyUwF8ynb_I9N0n4Rc39un9yZA5xjnYbwG42YEmutuZQ25dTi16lYuweaJ1AIGD79NFwnTA60flTfUA5IlNW9zxaBJiRd0rgTmTKbyUDqhKc0Wx3s0etNG'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Yahoo News^,"1,149 RV@@1149",0.107067,45,40,5
"1/19 - 1/25, 2026@@24131",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"24,675 RV@@24675",0.106417,44,43,1
"1/2 - 1/5, 2026@@24111",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_aY8mpiN.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,389 RV@@1389",0.105252,45,39,6
"9/15 - 9/18, 2025@@24002",<a href='https://www.theargumentmag.com/p/chatgpt-and-the-end-of-learning'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Argument/Verasight</a>,"1,541 RV@@1541",0.1010474,53,47,6
"8/30 - 9/1, 2025@@23985",<a href='https://www.winningtheissues.org/2025/12/31/2025-winning-the-issues-research/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Winston Group</a>^Sponsor: Winning the Issues^,"1,000 RV@@1000",0.0959742,47,43,4
"12/26 - 12/29, 2025@@24104",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_h1aYmmb.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,420 RV@@1420",0.0948846,42,38,4
"9/22 - 9/24, 2025@@24008",<a href='https://napolitannews.org/posts/generic-ballot-gop-43-percent-dem-41'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan Institute^,"2,000 RV@@2000",0.0894205,45,46,-1
"10/15 - 10/20, 2025@@24034",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"3,439 RV@@3439",0.0891967,39,39,0
"9/5 - 9/7, 2025@@23991",<a href='https://internetforgrowth.com/voter-insights/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>^Sponsor: Internet for Growth^,"1,030 LV@@1030",0.0888238,45,44,1
"12/20 - 12/22, 2025@@24097",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_nBgFw7w.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,425 RV@@1425",0.0841599,43,40,3
"8/25 - 8/26, 2025@@23979",<a href='https://emersoncollegepolling.com/august-2025-national/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Emerson College</a>,"1,000 RV@@1000",0.0833519,43.3,43,0.2999992
"8/26 - 9/1, 2025@@23985",<a href='https://www.survey160.com/methodological-research-blog/introducing-the-survey-160-tracking-poll'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Survey160</a>,"1,437 RV@@1437",0.0822868,46,39,7
"8/7 - 8/9, 2025@@23962",<a href='https://www.cygn.al/national-poll-69-percent-of-americans-reject-race-based-redistricting-views-on-the-american-dream-on-life-support-and-the-fed-gets-low-marks-on-handling-of-interest-rates/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0.0814072,47.4,46.4,1
"10/24 - 10/28, 2025@@24042",<a href='https://www.washingtonpost.com/documents/1d305cca-df33-44a8-ba8d-c98790a67f99.pdf?itid=lk_inline_manual_4'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: The Washington Post | ABC News^,"2,203 RV@@2203",0.0809678,46,44,2
"9/4 - 9/11, 2025@@23995",<a href='https://www.claritycampaigns.com/clarity-omnibus-september-2025'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,001 RV@@1001",0.0784592,50,44,6
"8/21 - 9/1, 2025@@23985",<a href='https://www.cnn.com/2025/09/26/politics/us-politics-negative-sentiment-republicans-democrats'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>CNN/SSRS</a>,"1,768 RV@@1768",0.0782363,52,48,4
"2/20 - 2/22, 2026@@24159",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,002 RV@@2002",0.0747245,46,42,4
"12/12 - 12/15, 2025@@24090",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_FJyfDu9.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,453 RV@@1453",0.0740501,43,39,4
"1/5 - 1/11, 2026@@24117",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"17,701 RV@@17701",0.072902,45,43,2
"1/12 - 1/18, 2026@@24124",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"12,505 RV@@12505",0.0716392,45,43,2
"11/14 - 11/17, 2025@@24062",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,818 RV@@818,0.0681381,40,39,1
"7/13 - 7/17, 2025@@23939",<a href='https://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot_july22'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Rasmussen Reports</a>,"2,288 LV@@2288",0.0678686,46,42,4
"11/7 - 11/12, 2025@@24057",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,938 RV@@938,0.067811,38,36,2
"2/13 - 2/16, 2026@@24153",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,200 RV@@2200",0.0664477,45,41,4
"7/29 - 8/3, 2025@@23956",<a href='https://www.cnbc.com/video/2025/08/07/cnbc-all-america-economic-survey-45-percent-approve-of-pres-trumps-handling-of-the-economy.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: CNBC^,800 RV@@800,0.0650989,49,44,5
"8/8 - 8/17, 2025@@23970",<a href='https://www.theargumentmag.com/p/when-americans-bite-their-tongues'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Argument/Verasight</a>,"1,562 RV@@1562",0.0639964,50.7,49.3,1.400002
"7/27 - 7/29, 2025@@23951",<a href='https://www.americaonepolicies.com/polls/selling-the-one-big-beautiful-bill'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>GrayHouse</a>^Sponsor: America One Policies^,"2,000 RV@@2000",0.0639938,47,44,3
"8/14 - 8/18, 2025@@23971",<a href='https://echeloninsights.com/in-the-news/august-2025-verified-voter-omnibus/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,057 LV@@1057",0.0623812,47,46,1
"9/15 - 9/19, 2025@@24003",<a href='https://www.gelliottmorris.com/p/new-poll-voters-to-blame-republicans-for-shutdown'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength In Numbers^,"1,268 RV@@1268",0.0623703,50,45,5
"7/13 - 7/18, 2025@@23940",<a href='https://atlasintel.org/poll/usa-national-2025-07-18'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>AtlasIntel</a>,"1,935 A@@1935",0.0623663,51.3,42.7,8.599998
"7/21 - 7/22, 2025@@23944",<a href='https://www.conchovalleyhomepage.com/news/majority-disapprove-of-trumps-handling-of-epstein-files-emerson-college-polling-survey/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Emerson College</a>^Sponsor: Nexstar^,"1,400 RV@@1400",0.062121,44,41.5,2.5
"10/21 - 10/27, 2025@@24041",<a href='https://mclaughlinonline.com/pols/wp-content/uploads/2025/10/National-October-Presentation-RELEASE.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 RV@@1000",0.0619785,44,46,-2
"12/5 - 12/8, 2025@@24083",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_qLhWxpK.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,380 RV@@1380",0.0618508,42,37,5
"12/29, 2025 - 1/4, 2026@@24110",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"22,709 A@@22709",0.0598083,44,42,2
"2/6 - 2/9, 2026@@24146",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling#trump-s-performance-on-the-issues'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,200 RV@@2200",0.0567557,45,41,4
"10/24 - 10/26, 2025@@24040",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,805 RV@@805,0.0531804,41,40,1
"7/16 - 7/20, 2025@@23942","<a href='https://www.wsj.com/politics/elections/trump-approval-rating-poll-july-2025-745b0f5f'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Fabrizio, Lee & Associates/Impact Research</a>^Sponsor: The Wall Street Journal^","1,500 RV@@1500",0.0529355,46,43,3
"11/28 - 12/1, 2025@@24076",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_szm0BQt.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,456 RV@@1456",0.0520514,45,39,6
"12/15 - 12/21, 2025@@24096",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"20,240 RV@@20240",0.0518852,44.63,42.35,2.280003
"1/30 - 2/1, 2026@@24138",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0.0480508,47,42,5
"11/21 - 11/24, 2025@@24069",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_uZaQqtv.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,511 RV@@1511",0.048011,44,39,5
"10/3 - 10/7, 2025@@24021",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,864 RV@@864,0.0448001,41,38,3
"12/8 - 12/14, 2025@@24089",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"19,954 RV@@19954",0.0441187,44.19,42.53,1.66
"8/18 - 8/21, 2025@@23974",<a href='https://napolitannews.org/posts/generic-ballot-gop-44-percent-dem-44'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan Institute^,"2,000 RV@@2000",0.0439953,47,47,0
"11/15 - 11/17, 2025@@24062",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Hb6uOe2.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,382 RV@@1382",0.0430775,43,40,3
"11/20 - 11/24, 2025@@24069","<a href='https://www.scribd.com/document/955905163/Yahoo-YouGov-Politics-Poll-November-2025#content=query:election,pageNum:2,indexOnPage:0,bestMatch:false'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Yahoo News^","1,131 RV@@1131",0.0423123,43,40,3
"1/23 - 1/25, 2026@@24131",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0.0420215,45,43,2
"11/7 - 11/10, 2025@@24055",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_EAdEA3C.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,499 RV@@1499",0.0413197,46,39,7
"7/24 - 7/31, 2025@@23953",<a href='https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/68936b40c111f97bb04773dd/1754491714447/Clarity+Omnibus+Overview+-+July+2025+%5BPUBLIC%5D.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,018 RV@@1018",0.0406941,51,43,8
"7/1 - 7/2, 2025@@23924",<a href='https://www.cygn.al/poll-karens-freak-out-over-ice-raids-as-hispanic-support-for-deportations-surges/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0.0394677,47.1,45.7,1.399998
"9/17 - 9/22, 2025@@24006",<a href='https://mclaughlinonline.com/2025/09/30/national-monthly-september-2025/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0.039447,41,47,-6
"10/31 - 11/3, 2025@@24048",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_5RO6eos.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,470 RV@@1470",0.0379315,44,41,3
"1/16 - 1/18, 2026@@24124",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0.0370573,45,43,2
"12/1 - 12/7, 2025@@24082",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"19,970 RV@@19970",0.0369262,44.22,42.82,1.400002
"7/10 - 7/14, 2025@@23936",<a href='https://echeloninsights.com/in-the-news/july-2025-verified-voter-omnibus-2-2-2-2-2-2-2/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,084 LV@@1084",0.0360316,47,48,-1
